SampleID,StationID,CollDate,TaxaID,N_Taxa,FFG,Habit,BCG_ATTR,TolVal,Phylum,SubPhylum,Class,SubClass,Order,Family,SubFamily,Tribe,Genus
Samp9142,FW08CA061,9/12/2008,Dero,18,,,5,,Annelida,,Oligochaeta,,Haplotaxida,Naididae,,,
Samp9142,FW08CA061,9/12/2008,Nais,26,CG,BU,5,8,Annelida,,Oligochaeta,Oligochaeta,Haplotaxida,Naididae,,,
Samp9142,FW08CA061,9/12/2008,Pristina,7,,,5,,Annelida,,Oligochaeta,,Haplotaxida,Naididae,,,
Samp9142,FW08CA061,9/12/2008,Tubificidae,6,CG,BU,5,10,Annelida,,Oligochaeta,Oligochaeta,Haplotaxida,Tubificidae,,,
Samp9142,FW08CA061,9/12/2008,Turbellaria,5,PR,SP,4,4,Platyhelminthes,,Turbellaria,,,,,,
Samp9142,FW08CA061,9/12/2008,Corbicula,14,CF,BU,6,6,Mollusca,,Bivalvia,Heterodonta,Veneroida,Corbiculidae,,,
Samp9142,FW08CA061,9/12/2008,Prostoma,1,PR,,4,6,Nemertea,,Enopla,,Hoplonemertea,Tetrastemmatidae,,,
Samp9142,FW08CA061,9/12/2008,Physa,15,SC,,5,8,Mollusca,,Gastropoda,,Basommatophora,Physidae,,,
Samp9142,FW08CA061,9/12/2008,Lebertia,1,PR,,4,8,Arthropoda,,Arachnida,Acarina,Acariformes,Lebertiidae,,,
Samp9142,FW08CA061,9/12/2008,Mideopsis,2,,,4,,Arthropoda,,Arachnida,,Trombidiformes,Mideopsidae,,,
Samp9142,FW08CA061,9/12/2008,Hyalella,9,CG,SP,4,8,Arthropoda,,Malacostraca,,Amphipoda,Hyalellidae,,,
Samp9142,FW08CA061,9/12/2008,Centroptilum,7,CG,CN,,2,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9142,FW08CA061,9/12/2008,Fallceon,2,CG,SW,4,5,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9142,FW08CA061,9/12/2008,Ablabesmyia,14,PR,SP,5,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9142,FW08CA061,9/12/2008,Cricotopus/orthocladius,8,SH,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
Samp9142,FW08CA061,9/12/2008,Cryptotendipes,2,CG,BU,5,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9142,FW08CA061,9/12/2008,Dicrotendipes,120,CF,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9142,FW08CA061,9/12/2008,Nanocladius,1,CG,SP,4,3,Arthropoda,,Insecta,,Diptera,Chironomidae,Orthocladiinae,,
Samp9142,FW08CA061,9/12/2008,Paratendipes,1,CG,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9142,FW08CA061,9/12/2008,Procladius,2,PR,SP,5,9,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9142,FW08CA061,9/12/2008,Tanytarsus,4,CG,CB,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9142,FW08CA061,9/12/2008,Argia,2,PR,CN,4,7,Arthropoda,,Insecta,,Odonata,Coenagrionidae,,,
Samp9142,FW08CA061,9/12/2008,Coenagrionidae,23,PR,CB,4,9,Arthropoda,,Insecta,,Odonata,Coenagrionidae,,,
Samp9142,FW08CA061,9/12/2008,Dubiraphia,6,CG,CN,4,4,Arthropoda,,Insecta,,Coleoptera,Elmidae,,,
Samp9142,FW08CA061,9/12/2008,Hydroptila,2,SC,CN,4,6,Arthropoda,,Insecta,,Trichoptera,Hydroptilidae,Hydroptilinae,,
Samp9142,FW08CA061,9/12/2008,Oxyethira,1,,CN,4,3,Arthropoda,,Insecta,,Trichoptera,Hydroptilidae,Hydroptilinae,,
Samp9142,FW08CA061,9/12/2008,Nectopsyche,1,SH,CB,4,3,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,Leptocerinae,,
Samp9143,FW08CO033,9/15/2009,Cambarincolidae,1,,,5,,Annelida,,Oligochaeta,,Branchiobdellida,Cambarincolidae,,,
Samp9143,FW08CO033,9/15/2009,Ferrissia,1,SC,CN,4,6,Mollusca,,Gastropoda,,Basommatophora,Ancylidae,,,
Samp9143,FW08CO033,9/15/2009,Cambaridae,1,CG,SP,,6,Arthropoda,,Malacostraca,,Decapoda,Cambaridae,,,
Samp9143,FW08CO033,9/15/2009,Orconectes,1,CG,SP,,6,Arthropoda,,Malacostraca,,Decapoda,Cambaridae,Cambarinae,,
Samp9143,FW08CO033,9/15/2009,Acentrella,2,CG,SW,3,4,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9143,FW08CO033,9/15/2009,Baetis,4,CG,SW,4,5,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9143,FW08CO033,9/15/2009,Fallceon,1,CG,SW,4,5,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9143,FW08CO033,9/15/2009,Cricotopus/orthocladius,3,SH,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
Samp9143,FW08CO033,9/15/2009,Lopescladius,7,SH,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Orthocladiinae,,
Samp9143,FW08CO033,9/15/2009,Microtendipes,1,CG,CN,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9143,FW08CO033,9/15/2009,Paralauterborniella,1,CG,BU,4,5,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9143,FW08CO033,9/15/2009,Polypedilum,1,SH,CB,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9143,FW08CO033,9/15/2009,Saetheria,1,CG,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9143,FW08CO033,9/15/2009,Stempellinella,1,CG,CN,3,2,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9143,FW08CO033,9/15/2009,Empididae,1,PR,SP,4,6,Arthropoda,,Insecta,,Diptera,Empididae,,,
Samp9143,FW08CO033,9/15/2009,Glossosoma,4,SC,CN,3,,Arthropoda,,Insecta,,Trichoptera,Glossosomatidae,Glossosomatinae,,
Samp9143,FW08CO033,9/15/2009,Ophiogomphus,2,PR,BU,4,1,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9143,FW08CO033,9/15/2009,Heptageniidae,1,SC,CN,3,4,Arthropoda,,Insecta,,Ephemeroptera,Heptageniidae,,,
Samp9143,FW08CO033,9/15/2009,Cheumatopsyche,2,CF,CN,4,5,Arthropoda,,Insecta,,Trichoptera,Hydropsychidae,Hydropsychinae,,
Samp9143,FW08CO033,9/15/2009,Hydropsyche,4,CF,CN,4,4,Arthropoda,,Insecta,,Trichoptera,Hydropsychidae,Hydropsychinae,,
Samp9143,FW08CO033,9/15/2009,Hydroptila,1,SC,CN,4,6,Arthropoda,,Insecta,,Trichoptera,Hydroptilidae,Hydroptilinae,,
Samp9143,FW08CO033,9/15/2009,Nectopsyche,2,SH,CB,4,3,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,Leptocerinae,,
Samp9143,FW08CO033,9/15/2009,Oecetis,1,PR,CN,4,8,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,Leptocerinae,,
Samp9143,FW08CO033,9/15/2009,Tricorythodes,28,CG,SP,4,5,Arthropoda,,Insecta,,Ephemeroptera,Leptohyphidae,,,
Samp9143,FW08CO033,9/15/2009,Leptophlebia,1,CG,SW,4,2,Arthropoda,,Insecta,,Ephemeroptera,Leptophlebiidae,,,
Samp9154,FW08NE021,8/14/2008,Lymnaeidae,1,SC,CB,4,6,Mollusca,,Gastropoda,,Basommatophora,Lymnaeidae,,,
Samp9154,FW08NE021,8/14/2008,Cambaridae,7,CG,SP,,6,Arthropoda,,Malacostraca,,Decapoda,Cambaridae,,,
Samp9154,FW08NE021,8/14/2008,Hyalella,1,CG,SP,4,8,Arthropoda,,Malacostraca,,Amphipoda,Hyalellidae,,,
Samp9154,FW08NE021,8/14/2008,Isonychia,8,CF,SW,3,2,Arthropoda,,Insecta,,Ephemeroptera,Isonychiidae,,,
Samp9154,FW08NE021,8/14/2008,Tricorythodes,4,CG,SP,4,5,Arthropoda,,Insecta,,Ephemeroptera,Leptohyphidae,,,
Samp9160,FW08NE046,6/8/2009,Physa,2,SC,,5,8,Mollusca,,Gastropoda,,Basommatophora,Physidae,,,
Samp9160,FW08NE046,6/8/2009,Callibaetis,8,CG,SW,5,9,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9160,FW08NE046,6/8/2009,Ceratopogoninae,1,PR,BU,4,6,Arthropoda,,Insecta,,Diptera,Ceratopogonidae,Ceratopogoninae,,
Samp9160,FW08NE046,6/8/2009,Chironomus,8,CG,BU,5,10,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9160,FW08NE046,6/8/2009,Cladotanytarsus,1,CF,CB,3,7,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9160,FW08NE046,6/8/2009,Cryptochironomus,1,PR,SP,5,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9160,FW08NE046,6/8/2009,Dicrotendipes,1,CF,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9160,FW08NE046,6/8/2009,Tropisternus,2,CG,CB,5,5,Arthropoda,,Insecta,,Coleoptera,Hydrophilidae,Hydrophilinae,,
Samp9162,FW08OK014,8/18/2008,Dasyhelea,1,CG,SP,5,6,Arthropoda,,Insecta,,Diptera,Ceratopogonidae,Dasyheleinae,,
Samp9162,FW08OK014,8/18/2008,Polypedilum,1,SH,CB,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9162,FW08OK014,8/18/2008,Rheotanytarsus,1,CG,CN,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9162,FW08OK014,8/18/2008,Saetheria,1,CG,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9162,FW08OK014,8/18/2008,Dubiraphia,1,CG,CN,4,4,Arthropoda,,Insecta,,Coleoptera,Elmidae,,,
Samp9162,FW08OK014,8/18/2008,Ephydridae,1,CG,BU,5,6,Arthropoda,,Insecta,,Diptera,Ephydridae,,,
Samp9162,FW08OK014,8/18/2008,Gomphidae,1,PR,BU,4,1,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9162,FW08OK014,8/18/2008,Progomphus,1,PR,BU,4,3,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9162,FW08OK014,8/18/2008,Nectopsyche,1,SH,CB,4,3,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,Leptocerinae,,
Samp9163,FW08OK017,6/22/2009,Corbicula,1,CF,BU,6,6,Mollusca,,Bivalvia,Heterodonta,Veneroida,Corbiculidae,,,
Samp9163,FW08OK017,6/22/2009,Cercobrachys,6,,,4,,Arthropoda,,Insecta,,Ephemeroptera,Caenidae,,,
Samp9163,FW08OK017,6/22/2009,Gillotia,3,,BU,,,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9163,FW08OK017,6/22/2009,Procladius,1,PR,SP,5,9,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9163,FW08OK017,6/22/2009,Progomphus,1,PR,BU,4,3,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9163,FW08OK017,6/22/2009,Homoeoneuria,1,CF;CG,BU,2,2,Arthropoda,,Insecta,,Ephemeroptera,Oligoneuriidae,,,
Samp9167,FW08OK027,8/17/2009,Procloeon,1,CG,SW,,9,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9167,FW08OK027,8/17/2009,Cercobrachys,1,,,4,,Arthropoda,,Insecta,,Ephemeroptera,Caenidae,,,
Samp9167,FW08OK027,8/17/2009,Dasyhelea,1,CG,SP,5,6,Arthropoda,,Insecta,,Diptera,Ceratopogonidae,Dasyheleinae,,
Samp9167,FW08OK027,8/17/2009,Chironomidae,2,CG,BU,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
Samp9167,FW08OK027,8/17/2009,Cladotanytarsus,1,CF,CB,3,7,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9167,FW08OK027,8/17/2009,Cryptochironomus,1,PR,SP,5,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9167,FW08OK027,8/17/2009,Lopescladius,285,SH,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Orthocladiinae,,
Samp9167,FW08OK027,8/17/2009,Paratendipes,2,CG,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9167,FW08OK027,8/17/2009,Saetheria,2,CG,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9167,FW08OK027,8/17/2009,Dolichopodidae,3,PR,SP,,4,Arthropoda,,Insecta,,Diptera,Dolichopodidae,Dolichopodinae,,
Samp9167,FW08OK027,8/17/2009,Progomphus,1,PR,BU,4,3,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9169,FW08OK036,6/23/2009,Pisidiidae,10,CF,,4,6,Mollusca,,Bivalvia,,Veneroida,Pisidiidae,,,
Samp9169,FW08OK036,6/23/2009,Sphaerium,1,CF;CG,BU,,6,Mollusca,,Bivalvia,,Veneroida,Pisidiidae,,,
Samp9169,FW08OK036,6/23/2009,Hyalella,14,CG,SP,4,8,Arthropoda,,Malacostraca,,Amphipoda,Hyalellidae,,,
Samp9169,FW08OK036,6/23/2009,Baetidae,1,CG,SW,4,4,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9169,FW08OK036,6/23/2009,Fallceon,4,CG,SW,4,5,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9169,FW08OK036,6/23/2009,Paracloeodes,9,SC,SW,4,6,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9169,FW08OK036,6/23/2009,Caenis,114,CG,SP,4,7,Arthropoda,,Insecta,,Ephemeroptera,Caenidae,,,
Samp9169,FW08OK036,6/23/2009,Cercobrachys,10,,,4,,Arthropoda,,Insecta,,Ephemeroptera,Caenidae,,,
Samp9169,FW08OK036,6/23/2009,Calopterygidae,1,PR,CB,4,5,Arthropoda,,Insecta,,Odonata,Calopterygidae,,,
Samp9169,FW08OK036,6/23/2009,Hetaerina,2,PR,CB,4,6,Arthropoda,,Insecta,,Odonata,Calopterygidae,,,
Samp9169,FW08OK036,6/23/2009,Ceratopogonidae,1,PR,SP,4,6,Arthropoda,,Insecta,,Diptera,Ceratopogonidae,,,
Samp9169,FW08OK036,6/23/2009,Cryptochironomus,1,PR,SP,5,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9169,FW08OK036,6/23/2009,Dicrotendipes,1,CF,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9169,FW08OK036,6/23/2009,Labrundinia,1,PR,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9169,FW08OK036,6/23/2009,Nanocladius,1,CG,SP,4,3,Arthropoda,,Insecta,,Diptera,Chironomidae,Orthocladiinae,,
Samp9169,FW08OK036,6/23/2009,Pentaneura,4,PR,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9169,FW08OK036,6/23/2009,Polypedilum,8,SH,CB,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9169,FW08OK036,6/23/2009,Rheotanytarsus,4,CG,CN,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9169,FW08OK036,6/23/2009,Saetheria,2,CG,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9169,FW08OK036,6/23/2009,Tanytarsus,17,CG,CB,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9169,FW08OK036,6/23/2009,Thienemannimyia genus gr.,5,,,4,,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9169,FW08OK036,6/23/2009,Argia,1,PR,CN,4,7,Arthropoda,,Insecta,,Odonata,Coenagrionidae,,,
Samp9169,FW08OK036,6/23/2009,Dubiraphia,2,CG,CN,4,4,Arthropoda,,Insecta,,Coleoptera,Elmidae,,,
Samp9169,FW08OK036,6/23/2009,Stenelmis,1,SC,CN,4,7,Arthropoda,,Insecta,,Coleoptera,Elmidae,,,
Samp9169,FW08OK036,6/23/2009,Erpetogomphus,1,PR,BU,4,4,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9169,FW08OK036,6/23/2009,Gomphidae,5,PR,BU,4,1,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9169,FW08OK036,6/23/2009,Berosus,2,CG,SW,4,5,Arthropoda,,Insecta,,Coleoptera,Hydrophilidae,Berosinae,,
Samp9169,FW08OK036,6/23/2009,Hydroptila,8,SC,CN,4,6,Arthropoda,,Insecta,,Trichoptera,Hydroptilidae,Hydroptilinae,,
Samp9169,FW08OK036,6/23/2009,Hydroptilidae,7,SC,CN,4,4,Arthropoda,,Insecta,,Trichoptera,Hydroptilidae,,,
Samp9169,FW08OK036,6/23/2009,Nectopsyche,31,SH,CB,4,3,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,Leptocerinae,,
Samp9169,FW08OK036,6/23/2009,Tricorythodes,22,CG,SP,4,5,Arthropoda,,Insecta,,Ephemeroptera,Leptohyphidae,,,
Samp9169,FW08OK036,6/23/2009,Homoeoneuria,6,CF;CG,BU,2,2,Arthropoda,,Insecta,,Ephemeroptera,Oligoneuriidae,,,
Samp9169,FW08OK036,6/23/2009,Scirtidae,2,SC,CB,4,4,Arthropoda,,Insecta,,Coleoptera,Scirtidae,,,
Samp9169,FW08OK036,6/23/2009,Stratiomyidae,1,CG,SP,,8,Arthropoda,,Insecta,,Diptera,Stratiomyidae,,,
Samp9170,FW08OK039,7/13/2009,Physa,1,SC,,5,8,Mollusca,,Gastropoda,,Basommatophora,Physidae,,,
Samp9170,FW08OK039,7/13/2009,Chernovskiia,1,,,,,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
Samp9170,FW08OK039,7/13/2009,Gillotia,1,,BU,,,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9170,FW08OK039,7/13/2009,Rheotanytarsus,1,CG,CN,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9170,FW08OK039,7/13/2009,Gomphidae,1,PR,BU,4,1,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9176,FW08OK053,5/19/2009,Paracloeodes,1,SC,SW,4,6,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9176,FW08OK053,5/19/2009,Chironomidae,1,CG,BU,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
Samp9176,FW08OK053,5/19/2009,Cricotopus/orthocladius,3,SH,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
Samp9176,FW08OK053,5/19/2009,Lopescladius,1,SH,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,Orthocladiinae,,
Samp9176,FW08OK053,5/19/2009,Saetheria,1,CG,BU,4,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9176,FW08OK053,5/19/2009,Progomphus,4,PR,BU,4,3,Arthropoda,,Insecta,,Odonata,Gomphidae,,,
Samp9190,FW08WA036,9/25/2009,Hygrobates,2,PR,,4,,Arthropoda,,Arachnida,,Trombidiformes,Hygrobatidae,,,
Samp9195,CAR9-0910,6/17/2014,Corbicula,13,CF,BU,6,6,Mollusca,,Bivalvia,Heterodonta,Veneroida,Corbiculidae,,,
Samp9195,CAR9-0910,6/17/2014,Hygrobates,1,PR,,4,,Arthropoda,,Arachnida,,Trombidiformes,Hygrobatidae,,,
Samp9195,CAR9-0910,6/17/2014,Lebertia,2,PR,,4,8,Arthropoda,,Arachnida,Acarina,Acariformes,Lebertiidae,,,
Samp9195,CAR9-0910,6/17/2014,Limnesia,1,,,4,,Arthropoda,,Arachnida,,Trombidiformes,Limnesiidae,,,
Samp9195,CAR9-0910,6/17/2014,Sperchon,1,PR,,4,8,Arthropoda,,Arachnida,Acarina,Acariformes,Sperchonidae,,,
Samp9195,CAR9-0910,6/17/2014,Hyalella,2,CG,SP,4,8,Arthropoda,,Malacostraca,,Amphipoda,Hyalellidae,,,
Samp9195,CAR9-0910,6/17/2014,Baetidae,5,CG,SW,4,4,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9195,CAR9-0910,6/17/2014,Centroptilum,36,CG,CN,,2,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9195,CAR9-0910,6/17/2014,Fallceon,2,CG,SW,4,5,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9195,CAR9-0910,6/17/2014,Paracloeodes,116,SC,SW,4,6,Arthropoda,,Insecta,,Ephemeroptera,Baetidae,,,
Samp9195,CAR9-0910,6/17/2014,Ablabesmyia,1,PR,SP,5,8,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,,
Samp9195,CAR9-0910,6/17/2014,Chironomidae,9,CG,BU,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
Samp9195,CAR9-0910,6/17/2014,Cladotanytarsus,83,CF,CB,3,7,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,,
Samp9195,CAR9-0910,6/17/2014,Cricotopus/orthocladius,2,SH,SP,4,6,Arthropoda,,Insecta,,Diptera,Chironomidae,,,
